,Intercept,Description1[T.LiveSalmonella],Description1[T.Probiotics-AND-LiveSalmonella],Unknown[T.B]
y345,0.002341009,0.604610673,0.604610673,0.372734435
y159,0.954434034,0.954434034,0.608630741,0.608630741
y160,0.001015399,0.458224879,0.61051419,0.942451611
y141,0.815753867,0.036467819,0.612309911,0.612309911
y31,0.612667687,0.612667687,0.612667687,0.612667687
y287,0.805339329,0.805339329,0.617684737,0.617684737
y123,0.73374301,0.73374301,0.627139951,0.73374301
y7,0.627601,0.70149364,0.627601,0.627601
y237,0.83558376,0.83558376,0.628948587,0.628948587
y172,0.636433751,0.636433751,0.636433751,0.558691893
y460,5.96E-08,0.952192932,0.636927635,0.411707689
y211,0.638546469,0.959579543,0.638546469,0.638546469
y402,2.36E-21,0.641397951,0.641397951,0.641397951
y12,0.647057845,0.415361365,0.647057845,0.647057845
y79,0.702188985,0.659337273,0.659337273,0.659337273
y246,0.004838886,0.655941352,0.666648463,0.655941352
y193,0.672649531,0.672649531,0.672649531,0.67816542
y494,8.58E-07,0.681421402,0.672989517,0.605319622
y487,1.75E-06,0.677621761,0.677621761,0.176072868
y469,0.677651324,0.772084232,0.677651324,0.772084232
y202,0.67943013,0.67943013,0.67943013,0.67943013
y105,0.657362467,0.682850725,0.682850725,0.682850725
y235,0.016061311,0.667547708,0.683013638,0.667547708
y114,0.836748399,0.683060064,0.683060064,0.683060064
y173,0.692783387,0.436430455,0.692783387,0.436430455
y82,0.192225871,0.163542426,0.696757508,0.817095171
y169,0.699558655,0.985644335,0.699558655,0.650385652
y333,0.717028269,0.701552785,0.701552785,0.701552785
y198,0.450136797,0.313508104,0.701720807,0.313508104
y33,0.708321103,0.314745122,0.708321103,0.750349119
y458,0.798263961,0.798263961,0.708761536,0.708761536
y406,0.798263961,0.798263961,0.708761536,0.708761536
y362,0.798263961,0.798263961,0.708761536,0.708761536
y384,0.798263961,0.798263961,0.708761536,0.708761536
y498,0.798263961,0.798263961,0.708761536,0.708761536
y383,0.798263961,0.798263961,0.708761536,0.708761536
y453,0.798263961,0.798263961,0.708761536,0.708761536
y429,0.798263961,0.798263961,0.708761536,0.708761536
y472,0.798263961,0.798263961,0.708761536,0.708761536
y407,0.798263961,0.798263961,0.708761536,0.708761536
y491,0.798263961,0.798263961,0.708761536,0.708761536
y434,0.798263961,0.798263961,0.708761536,0.708761536
y452,0.798263961,0.798263961,0.708761536,0.708761536
y245,4.62E-05,0.712589089,0.712589089,0.867219676
y140,0.782580121,0.782580121,0.721440489,0.721440489
y10,0.728457575,0.728457575,0.728457575,0.728457575
y67,0.73139503,0.73139503,0.73139503,0.73139503
y60,0.385877342,0.746191428,0.731479956,0.485839164
y51,0.740145024,0.734866407,0.734866407,0.734866407
y161,0.684276254,0.089818512,0.738329926,0.089818512
y104,0.69822474,0.73960093,0.73960093,0.69822474
y116,0.745987404,0.745987404,0.745987404,0.745987404
y106,0.291765444,0.747882241,0.747882241,0.747882241
y474,1.94E-11,0.818207957,0.749377013,0.788922376
y144,0.751015988,0.751015988,0.751015988,0.751015988
y133,0.85920232,0.763005021,0.763005021,0.763005021
y73,0.773500465,0.411925414,0.773500465,0.786832525
y206,0.802177854,0.739927226,0.782334691,0.782334691
y136,0.003831878,0.782871579,0.782871579,0.782871579
y89,0.785862242,0.785862242,0.785862242,0.785862242
y111,0.785898007,0.292629558,0.785898007,0.778316204
y244,0.959088919,0.959088919,0.786302142,0.959088919
y11,0.790227234,0.790227234,0.790227234,0.220008582
y329,0.028474093,0.90510942,0.79238216,0.79238216
y69,0.795977704,0.795977704,0.795977704,0.795977704
y387,5.88E-07,0.799959816,0.799959816,0.799959816
y467,7.77E-06,0.385125372,0.802438577,0.675927665
y171,0.312184868,0.803585284,0.803585284,0.803585284
y204,0.804762206,0.804762206,0.804762206,0.709149986
y313,2.79E-15,0.667245666,0.809222092,0.667245666
y277,0.000166977,0.055330255,0.809492916,0.440936383
y232,0.478408852,0.478408852,0.810879594,0.810879594
y505,3.12E-09,0.661760058,0.823999468,0.661760058
y248,0.000510804,0.362242753,0.827077607,0.432465564
y250,0.86716844,0.86716844,0.831701296,0.831701296
y473,0.86716844,0.86716844,0.831701296,0.831701296
y450,0.86716844,0.86716844,0.831701296,0.831701296
y454,0.86716844,0.86716844,0.831701296,0.831701296
y405,0.86716844,0.86716844,0.831701296,0.831701296
y490,0.86716844,0.86716844,0.831701296,0.831701296
y435,0.86716844,0.86716844,0.831701296,0.831701296
y483,0.86716844,0.86716844,0.831701296,0.831701296
y236,0.86716844,0.86716844,0.831701296,0.831701296
y464,0.86716844,0.86716844,0.831701296,0.831701296
y382,0.86716844,0.86716844,0.831701296,0.831701296
y500,0.86716844,0.86716844,0.831701296,0.831701296
y344,0.86716844,0.86716844,0.831701296,0.831701296
y361,0.86716844,0.86716844,0.831701296,0.831701296
y249,0.86716844,0.86716844,0.831701296,0.831701296
y463,0.86716844,0.86716844,0.831701296,0.831701296
y381,0.86716844,0.86716844,0.831701296,0.831701296
y263,0.86716844,0.86716844,0.831701296,0.831701296
y468,0.86716844,0.86716844,0.831701296,0.831701296
y427,0.86716844,0.86716844,0.831701296,0.831701296
y482,0.86716844,0.86716844,0.831701296,0.831701296
y353,3.50E-08,0.836452075,0.836452075,0.836452075
y331,0.838829738,0.838829738,0.838829738,0.838829738
y124,0.838834064,0.838834064,0.838834064,0.943161786
y22,0.172158293,0.83981639,0.83981639,0.83981639
y71,0.757973173,0.183981661,0.843444642,0.780431056
y186,0.84395245,0.916093069,0.84395245,0.84395245
y85,0.692509984,0.845600007,0.845600007,0.692509984
y59,0.920790259,0.848342208,0.848342208,0.920790259
y262,5.20E-07,0.54536667,0.849729587,0.54536667
y330,2.74E-18,0.862773951,0.850485212,0.862773951
y120,0.852303879,0.852303879,0.852303879,0.852303879
y343,1.86E-13,0.852500281,0.852500281,0.852500281
y328,6.94E-08,0.856095798,0.856095798,0.856095798
y95,0.857121976,0.282623904,0.857121976,0.857121976
y189,0.00031176,0.269512048,0.860853062,0.269512048
y308,0.782699476,0.579040213,0.861241385,0.367239074
y63,0.861803691,0.861803691,0.861803691,0.861803691
y151,0.863802102,0.863802102,0.863802102,0.863802102
y94,0.904218009,0.904218009,0.864713563,0.848552464
y213,0.86472642,0.86472642,0.86472642,0.86472642
y194,0.869188148,0.869188148,0.869188148,0.869188148
y417,7.65E-06,0.869495432,0.869495432,0.869495432
y76,0.869546897,0.869546897,0.869546897,0.869546897
y315,0.016419345,0.28044988,0.871529797,0.825325992
y26,0.724710915,0.702049253,0.872681935,0.702049253
y476,4.90E-09,0.875876606,0.875876606,0.319517095
y57,0.878301948,0.878301948,0.878301948,0.878301948
y72,0.941128047,0.879072299,0.879072299,0.941128047
y292,0.880667779,0.880667779,0.880667779,0.880667779
y368,5.83E-06,0.880756988,0.880756988,0.880756988
y134,0.882538285,0.882538285,0.882538285,0.882538285
y81,0.295894629,0.866739752,0.883206209,0.029062446
y143,0.883396308,0.883396308,0.883396308,0.883396308
y32,0.43326002,0.43326002,0.883954796,0.963071785
