,D1367,D1368,D1369,D1370,D1371,D1372,D1373,D1374,D1375,D1376,D1377,D1378,D1379,D1380,D1381,D1382,D1383,D1384,D1385,D1386,D1387,D1388,D1389,D1390,D1391,D1392,D1393,D1394,D1395,D1396,D1397,D1398,D1399,D1400,D1401,D1402,D1403,D1404,D1405,D1406
y10,3.135729036996464,-1.1691838515795236,1.803708690850585,-0.7934407272740929,0.007973119735172673,0.07509051402761635,4.825615973915411,-2.083623850467433,-5.626788485827787,-0.17508042037627636,-0.19676963176949025,1.0019366829151402,-0.40258161319957875,-0.40258543794610535,0.6771369169336214,-1.770801825866438,-2.893162495610406,3.6992295932429347,0.8526419084520294,-0.565044097151584,2.9486491743078833,-0.8834266409003444,-0.28128503991288234,2.2986279590787024,2.41445521429101,0.6231238487632194,-4.681252802709377,-2.509548041357,-0.03264088863257619,0.10329721707155137,-1.0153948379274755,0.3292362741868624,-2.1430005310155376,-0.9461969570662698,2.889080411686297,1.2177562799886226,-1.2059614620370191,2.100940193374704,-3.0134853366018812,1.7870259654118565
y11,1.6171657603262883,-10.546741478654752,1.1314870840279465,2.3840404049272883,1.627461563320795,2.7038704425592788,0.4725396187109303,0.6015183132473303,1.2909656491456794,-1.2823073576107826,2.9556297260610074,-0.7867888266128964,0.05602646818425505,-2.2248673676323274,-0.3290689821884085,0.32885066602933916,0.8939239001233587,-0.29132483406765497,-0.31105591582896497,-0.29132483406765486,0.0617086181298616,0.06170861812986292,0.061708618129863634,0.05946430468227426,-0.0067964780319332285,0.06170861812986179,-0.48462815355938216,0.061708618129863474,0.061708618129864036,0.06170861812986002,-0.09530195292345366,-0.0953019529234561,0.3233622618193815,-0.09530195292345521,-0.09530195292345452,-0.09530195292345635,-0.19282722569110844,-0.6416387246127019,-0.09530195292345514,1.082915406025164
y12,7.4144406874448086,0.08580042999034188,4.948527723228098,4.682526651791454,9.44482385436464,5.613366130582658,-11.15102720980667,-9.184917726089157,-2.9250702894650846,-8.928470252041148,0.7154848307744366,-1.7659008149649575,5.358508457092826,-4.308092472902311,-0.046490671232089116,-0.04649067123208961,-0.04649067123209078,0.23245335616043739,-0.046490671232095104,-0.04649067123209266,-0.07949573243025519,-0.07949573243025544,-0.07949573243025583,0.12779169895600945,-0.07949573243026094,-0.07949573243025601,-0.07949573243025965,-0.0794957324302572,0.18969514076784177,0.23898328728793938,0.06289966279690731,0.06289966279691636,0.06289966279691601,-0.1914576522178879,-0.31173965015745364,0.0628996627969129,0.06289966279691368,0.06289966279691975,0.06289966279691948,0.06289966279691868
y13,-0.14783909804167195,-0.016148378996932777,-0.934542222106276,2.0717791285887097,-0.36158135327363006,-2.0232350265074883,0.5998393623373923,0.957500830252922,0.9039908550413003,-1.0497640972943838,2.2823955648002485,-2.0983109021024626,-2.975071088650046,2.790986425952259,-0.9846598805449829,0.3399758535280122,1.5566047217388954,-1.6424850766222097,-0.5309605758574181,1.26152495775767,1.735388070151934,4.203111818338002,-1.715740666390485,1.1348645537389186,-0.3116546625611063,-4.406809395936467,-1.993211506370204,-2.830042672506011,1.40476094543002,2.779333516105375,-0.21722516376414952,-0.7126429178593767,-1.7868735984857025,0.5556778125815168,-0.2661078378298568,2.153768781204692,-0.8349416547231658,-1.1425341156683055,1.6408137137414678,0.6100649808028704
y14,-11.736466201344877,-16.777730624200537,-5.599635097001698,-2.9958190456973846,4.692383034690518,3.420795979759376,5.2283869764869415,13.641124181699954,-0.20312295725373275,10.330083752861551,-2.820600900168968,2.5472449354321993,3.5697703289161167,-3.2964143641793253,1.2089736732116543,-2.311674991069023,-3.44068310349116,4.081325405248279,2.3352455121021736,-1.8731864960018796,-0.05839768763543152,-0.02990841186190485,-0.1304913677442312,0.4505077558753716,0.5858856262038219,0.14923440541259314,-1.4182927813792734,-0.593356976368612,-0.8548166524281364,1.8996360899258078,-1.1343611801802158,0.5653933174648076,-0.21715890435752305,-0.32528636644594466,0.5901883104626311,-0.4598866003420077,0.7943646101895481,-0.040233800217320814,0.7405422305115907,-0.5135616170855584
y15,-0.6040466618783896,-0.34034580329933073,2.8855397299773062,-0.8754624654099257,0.06866812293978958,-0.8905517326838845,1.0966866543426004,-1.156018833047678,-0.8331551601212595,0.6486861491807678,-0.28810187189542624,0.5714160960225307,0.41392964363613477,-0.6972438677632418,0.17022093733956112,0.09527944385062992,-0.05163414627418489,0.20866583124648486,0.12524677183916244,-0.5477788380016697,-5.411132626510066,9.919927454271921,-3.009997157040374,-5.480068229939828,7.322955456000974,0.892643551164972,-0.7819903420481866,0.03578986162620024,0.22160887602448476,-3.7097368435501092,-0.8644543336118313,2.7653615829128535,-0.9700272176171869,-2.8050439522283086,-1.221317650869124,0.41591681977214645,1.285436903607605,-1.3170374637959972,5.4708350699818435,-2.759669758152007
y16,3.528095282977423e-16,2.1874178069592693e-16,-2.384755608370614e-16,-1.1394088796296104e-17,-2.790414527950833e-16,1.7227958754772864e-18,-2.891414870733654e-16,-6.359457780168818e-16,-5.69594838358493e-17,-1.6963436936151724e-16,4.186462669024827e-16,-3.484845567988891e-16,-3.2393650783637417e-16,-5.256890078214177e-17,0.7821503530466628,1.0108778508743779,-3.4026450251431046,0.9473860981194683,0.9650273199569804,-0.30279659685438925,-3.3795664759269517,-3.3479233477261374,-0.33759207273694625,-1.6668695143394545,-3.493212616909803,4.339596058116846,5.173338054220803,4.86421072994295,-0.14770139686184158,-2.0042794177794683,-0.22539097957735243,-0.22539097957735243,0.8827656389755668,0.9203621976432507,-0.2253909795773525,-0.22539097957735255,-0.22539097957735243,-0.22539097957735243,-0.22539097957735246,-0.2253909795773525
y17,0.4396750191451636,-0.32138791068676453,0.8731392366006626,-1.8403271446433724,1.3160441753831025,3.4649670201880225,-0.44685682134855464,-2.3048148420251113,-2.536651939870798,1.3562132072576176,0.3208647959315354,0.3208647959315355,0.3208647959315354,-0.9625943877946066,0.2594634835235638,0.9669393249496787,-2.88943341571303,0.4641320979973192,0.9394350257188657,0.2594634835235638,-0.7266365116238447,0.5593280248858457,-0.8683438108465715,1.0029039257316272,-0.24037443751855747,-0.8696094002686632,-0.43371089796352225,0.7606644749891474,-0.276954009304752,1.0927326419192465,2.4321896291717646,0.0654453424299426,-0.9978379660666952,-2.710536762097528,-1.9205551427045622,-2.5208980631851787,0.7780410732654192,2.9353140297794735,-1.134807288109703,3.0736451475170217
y18,-0.07950566762668643,0.6519770726081057,0.6519770726081057,0.6519770726081057,-1.03291848460118,-0.3624818191301308,-2.436956464290649,0.6519770726081057,0.6519770726081056,0.6519770726081058,-3.130460115815627,2.414799739769988,2.6325033440092387,-1.9168429679636092,1.315993076793134,2.804742427184415,-2.343955881199991,2.464096055488056,1.0441096645416994,-5.284985342807314,0.5677612380549102,-2.7063257673529963,1.3923542154895192,0.1839545789120136,-0.9201336310188961,0.7760780734278181,0.18062249924601992,-0.49895895463474493,0.37414976409369927,0.6504979837826568,1.3591859642234363,1.0774047109640708,0.872672804929586,0.15990842345868173,-2.0479025667244914,-0.18967675820307595,-0.62937559912947,0.8442769930248362,-3.2685895833174796,1.8220956107739057
y19,-3.47885439908505,2.31178805834251,-3.4286274986816045,2.4472978557001706,2.097539449298797,-3.1427248938958585,2.097539449298792,2.5203319354710434,2.0975394492987984,-3.5218294057476585,4.22660873399286e-15,-2.851832907464959e-15,-2.5582506848418452e-15,-1.2895613520913414e-15,3.0739868587852652,3.0739868587852657,-2.624407221818227,-3.1187323721220426,3.073986858785264,-3.4788209824155722,0.6096552675384963,1.2539427437183948,0.0916936601193834,-0.5146992915821658,-0.31396253582320766,-0.6104982469624876,-0.6773492935741561,0.20248497080037442,-0.46195431493292327,0.4206870406982337,-0.8786541458097421,0.3312543121946021,-0.25268266911822135,0.31437622784005415,-0.8107314767336642,-0.2282939479585684,0.6648240332849022,-0.29235040730032136,1.0389489200868784,0.11330915351402515
